"iWine","Type","Color","Category","Size","Currency","Value","Price","TotalQuantity","Quantity","Pending","Vintage","Wine","Locale","Producer","Varietal","MasterVarietal","Designation","Vineyard","Country","Region","SubRegion","Appellation","BeginConsume","EndConsume","WindowSource","LikeVotes","LikePercent","LikeIt","PNotes","PScore","CNotes","CScore","WA","WAWeb","IWC","IWCWeb","WS","WSWeb","WE","WEWeb","BR","BRWeb","GV","GVWeb","LF","LFWeb","LD","LDWeb","SJ","SJWeb","GA","GAWeb","WWR","WWRWeb","TT","TTWeb","FP","FPWeb"
"3637507","White","White","Dry","750ml","SEK","0","0","1","1","0","2019","Bernhard Mehrlein Riesling Calles Riesling","Germany, Rheingau","Bernhard Mehrlein","Riesling","Riesling","Calles Riesling","Unknown","Germany","Rheingau","Unknown","Unknown","9999","9999","Community Average","1","1","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4430937","White","White","Dry","750ml","SEK","249","249","2","2","0","2022","Bloody Hill Villages Chardonnay","Australia, Victoria, Port Phillip, Yarra Valley","Bloody Hill Villages","Chardonnay","Chardonnay","Unknown","Unknown","Australia","Victoria","Port Phillip","Yarra Valley","9999","9999","Community Average","0","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4502371","Red","Red","Dry","750ml","SEK","279","279","1","1","0","2022","Bloody Hill Villages Coldstream Cabernet","Australia, Victoria, Port Phillip, Yarra Valley","Bloody Hill Villages","Red Bordeaux Blend","Red Bordeaux Blend","Coldstream Cabernet","Unknown","Australia","Victoria","Port Phillip","Yarra Valley","9999","9999","Community Average","1","1","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5468549","Red","Red","Dry","750ml","SEK","299","299","2","2","0","2024","Bloody Hill Villages Pinot Noir Panton Hill","Australia, Victoria, Port Phillip, Yarra Valley","Bloody Hill Villages","Pinot Noir","Pinot Noir","Panton Hill","Unknown","Australia","Victoria","Port Phillip","Yarra Valley","9999","9999","Community Average","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4533368","White","White","Dry","750ml","SEK","299","299","2","2","0","2020","Boekenhoutskloof Sémillon","South Africa, Coastal Region, Franschhoek Valley","Boekenhoutskloof","Sémillon","Sémillon","Unknown","Unknown","South Africa","Coastal Region","Franschhoek Valley","Unknown","9999","9999","Community Average","10","1","","","","22","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5521704","Red","Red","Dry","750ml","SEK","199","199","3","3","0","2024","Boschkloof Syrah","South Africa, Coastal Region, Stellenbosch","Boschkloof","Syrah","Syrah","Unknown","Unknown","South Africa","Coastal Region","Stellenbosch","Stellenbosch","9999","9999","Community Average","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5166988","Red","Red","Dry","750ml","SEK","599","599","1","1","0","2023","Boschkloof Syrah Epilogue","South Africa, Coastal Region, Stellenbosch","Boschkloof","Syrah","Syrah","Epilogue","Unknown","South Africa","Coastal Region","Stellenbosch","Stellenbosch","9999","9999","Community Average","0","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2404599","Red","Red","Dry","750ml","SEK","229","229","1","1","0","2014","Domaine Boucabeille Côtes du Roussillon Villages Les Orris","France, Languedoc Roussillon, Roussillon, Côtes du Roussillon Villages","Domaine Boucabeille","Red Rhone Blend","Red Rhone Blend","Les Orris","Unknown","France","Languedoc Roussillon","Roussillon","Côtes du Roussillon Villages","9999","9999","Community Average","3","1","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3569398","Red - Sparkling","Red","Sparkling","375ml","SEK","99","99","1","1","0","2019","Braida (Giacomo Bologna) Brachetto d'Acqui","Italy, Piedmont, Brachetto d'Acqui DOCG","Braida (Giacomo Bologna)","Brachetto","Brachetto","Unknown","Unknown","Italy","Piedmont","Unknown","Brachetto d'Acqui DOCG","9999","9999","Community Average","3","1","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1765646","Red - Sparkling","Red","Sparkling","750ml","SEK","0","0","1","1","0","2013","Braida (Giacomo Bologna) Brachetto d'Acqui","Italy, Piedmont, Brachetto d'Acqui DOCG","Braida (Giacomo Bologna)","Brachetto","Brachetto","Unknown","Unknown","Italy","Piedmont","Unknown","Brachetto d'Acqui DOCG","9999","9999","Community Average","2","1","","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4671207","Rosé","Rosé","Dry","750ml","SEK","0","0","1","1","0","2022","Brancaia Rosé Toscana IGT","Italy, Tuscany, Toscana IGT","Brancaia","Merlot","Merlot","Rosé","Unknown","Italy","Tuscany","Unknown","Toscana IGT","9999","9999","Community Average","2","1","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4867967","White","White","Dry","750ml","SEK","0","0","1","1","0","2022","Bread & Butter Chardonnay California","USA, California","Bread & Butter","Chardonnay","Chardonnay","Unknown","Unknown","USA","California","Unknown","California","9999","9999","Community Average","20","0,8","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5016666","White","White","Dry","750ml","SEK","0","0","1","1","0","2023","Georg Breuer Riesling Sauvage","Germany, Rheingau","Georg Breuer","Riesling","Riesling","Sauvage","Unknown","Germany","Rheingau","Unknown","Unknown","9999","9999","Community Average","4","1","","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4622145","White","White","Dry","750ml","SEK","199","199","1","1","0","2022","Jean-Marc Brocard Chablis Domaine Sainte Claire","France, Burgundy, Chablis","Jean-Marc Brocard","Chardonnay","Chardonnay","Domaine Sainte Claire","Unknown","France","Burgundy","Chablis","Chablis","9999","9999","Community Average","26","1","","","","35","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3273791","Red","Red","Dry","750ml","SEK","249","249","1","1","0","2014","C.V.N.E. (Compañía Vinícola del Norte de España) Rioja Viña Real Gran Reserva","Spain, La Rioja, La Rioja Alta, Rioja","C.V.N.E. (Compañía Vinícola del Norte de España)","Tempranillo","Tempranillo","Viña Real Gran Reserva","Unknown","Spain","La Rioja","La Rioja Alta","Rioja","9999","9999","Community Average","15","0,933333333333333","","","","33","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5212890","White","White","Dry","750ml","SEK","279","279","2","2","0","2023","Bodega Catena Zapata Chardonnay Catena Alta Historic Rows","Argentina, Mendoza","Bodega Catena Zapata","Chardonnay","Chardonnay","Catena Alta Historic Rows","Unknown","Argentina","Mendoza","Unknown","Unknown","9999","9999","Community Average","4","1","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5363546","Red","Red","Dry","750ml","SEK","179","179","1","1","0","2023","Bodega Catena Zapata Malbec Paraje Altamira","Argentina, Mendoza, Valle de Uco, Altamira","Bodega Catena Zapata","Malbec","Malbec","Unknown","Paraje Altamira","Argentina","Mendoza","Valle de Uco","Altamira","9999","9999","Community Average","11","0,818181818181818","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5708625","White","White","Dry","750ml","SEK","320","320","3","3","0","2024","Cesar Marquez Godello Bierzo La Salvación","Spain, Castilla y León, Bierzo","Cesar Marquez","Godello","Godello","La Salvación","Unknown","Spain","Castilla y León","Unknown","Bierzo","9999","9999","Community Average","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3615021","Red","Red","Dry","750ml","SEK","239","239","1","1","0","2019","Bodega Chacra Pinot Noir Barda","Argentina, Patagonia, Río Negro","Bodega Chacra","Pinot Noir","Pinot Noir","Barda","Unknown","Argentina","Patagonia","Río Negro","Río Negro","9999","9999","Community Average","39","0,974358974358974","","","","64","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3744716","Red","Red","Dry","750ml","SEK","149","149","1","1","0","2018","Chiara Condello Sangiovese","Italy, Emilia-Romagna, Romagna","Chiara Condello","Sangiovese","Sangiovese","Unknown","Unknown","Italy","Emilia-Romagna","Unknown","Romagna","9999","9999","Community Average","28","0,928571428571429","","","","45","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5487376","Red","Red","Dry","750ml","SEK","199","199","1","1","0","2024","Ciacci Piccolomini d'Aragona 385 Toscana IGT","Italy, Tuscany, Toscana IGT","Ciacci Piccolomini d'Aragona","Sangiovese Blend","Sangiovese","385","Unknown","Italy","Tuscany","Unknown","Toscana IGT","9999","9999","Community Average","1","1","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4481319","Red","Red","Dry","750ml","SEK","499","499","2","2","0","2018","Ciacci Piccolomini d'Aragona Brunello di Montalcino Pianrosso","Italy, Tuscany, Montalcino, Brunello di Montalcino","Ciacci Piccolomini d'Aragona","Sangiovese","Sangiovese","Unknown","Pianrosso","Italy","Tuscany","Montalcino","Brunello di Montalcino","9999","9999","Community Average","33","1","","","","43","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2542701","Red","Red","Dry","750ml","SEK","0","0","1","1","0","2013","Le Clos d'un Jour Cahors Un Jour","France, Southwest France, Cahors","Le Clos d'un Jour","Malbec","Malbec","Un Jour","Unknown","France","Southwest France","Unknown","Cahors","9999","9999","Community Average","2","1","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2734140","Red","Red","Dry","750ml","SEK","299","299","2","2","0","2015","Clos I Terrasses Priorat Laurel","Spain, Catalunya, Priorat","Clos I Terrasses","Grenache Blend","Grenache","Laurel","Unknown","Spain","Catalunya","Unknown","Priorat","9999","9999","Community Average","26","1","","","","62","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2110434","Red","Red","Dry","750ml","SEK","0","0","1","1","0","2004","Clos Saint Joseph Côtes de Provence Rouge","France, Provence, Côtes de Provence","Clos Saint Joseph","Red Rhone Blend","Red Rhone Blend","Rouge","Unknown","France","Provence","Unknown","Côtes de Provence","9999","9999","Community Average","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5038212","White - Sparkling","White","Sparkling","750ml","SEK","0","0","1","1","0","1001","André Clouet Champagne Bouzy Grande Réserve Brut","France, Champagne","André Clouet","Champagne Blend","Champagne Blend","Bouzy Grande Réserve Brut","Unknown","France","Champagne","Unknown","Champagne","9999","9999","Community Average","6","0,833333333333333","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1059696","White - Sparkling","White","Sparkling","750ml","SEK","0","0","1","1","0","1001","André Clouet Champagne Silver Brut Nature","France, Champagne","André Clouet","Pinot Noir","Pinot Noir","Silver Brut Nature","Unknown","France","Champagne","Unknown","Champagne","9999","9999","Community Average","120","0,958333333333333","","","","235","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3699061","White","White","Dry","750ml","SEK","199","199","1","1","0","2018","Paul Cluver Chardonnay","South Africa, Cape South Coast, Elgin","Paul Cluver","Chardonnay","Chardonnay","Unknown","Unknown","South Africa","Cape South Coast","Elgin","Unknown","9999","9999","Community Average","13","1","","","","40","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5559652","Red","Red","Dry","750ml","SEK","199","199","1","1","0","2023","Coca i Fitó Montsant Jade","Spain, Catalunya, Tarragona, Montsant","Coca i Fitó","Grenache Blend","Grenache","Jade","Unknown","Spain","Catalunya","Tarragona","Montsant","9999","9999","Community Average","1","1","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5489500","Red","Red","Dry","750ml","SEK","220","220","2","2","0","2024","Comando G La Bruja","Spain, Madrid, Vinos de Madrid","Comando G","Garnacha","Grenache","La Bruja","Unknown","Spain","Madrid","Unknown","Vinos de Madrid","9999","9999","Community Average","7","0,857142857142857","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3199168","White - Sparkling","White","Sparkling","750ml","SEK","0","0","1","1","0","1001","Comtesse de Neples Champagne Brut","France, Champagne","Comtesse de Neples","Champagne Blend","Champagne Blend","Brut","Unknown","France","Champagne","Unknown","Champagne","9999","9999","Community Average","5","1","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3503290","White","White","Dry","750ml","SEK","235","235","2","2","0","2018","Domaine Cordier Père et Fils Pouilly-Fuissé Vieilles Vignes","France, Burgundy, Mâconnais, Pouilly-Fuissé","Domaine Cordier Père et Fils","Chardonnay","Chardonnay","Vieilles Vignes","Unknown","France","Burgundy","Mâconnais","Pouilly-Fuissé","9999","9999","Community Average","4","1","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4998935","White","White","Dry","750ml","SEK","419","419","1","1","0","2023","Crystallum Chardonnay Clay Shales","South Africa, Cape South Coast, Walker Bay, Hemel-en-Aarde Valley","Crystallum","Chardonnay","Chardonnay","Clay Shales","Unknown","South Africa","Cape South Coast","Walker Bay","Hemel-en-Aarde Valley","9999","9999","Community Average","15","1","","","","21","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5117191","White","White","Dry","750ml","SEK","219","219","1","1","0","2022","D Mateos Tempranillo Blanco Rioja La Mateo","Spain, La Rioja, Rioja","D Mateos","Tempranillo Blanco","Tempranillo","La Mateo","Unknown","Spain","La Rioja","Unknown","Rioja","9999","9999","Community Average","2","1","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4585296","White","White","Dry","750ml","SEK","199","199","1","1","0","2020","D Mateos Tempranillo Blanco Rioja La Mateo","Spain, La Rioja, Rioja","D Mateos","Tempranillo Blanco","Tempranillo","La Mateo","Unknown","Spain","La Rioja","Unknown","Rioja","9999","9999","Community Average","5","0,8","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5309808","Red","Red","Dry","750ml","SEK","199","199","1","1","0","2023","Dandelion Vineyards Lion's Tooth of McLaren Vale","Australia, South Australia, Fleurieu, McLaren Vale","Dandelion Vineyards","Shiraz Blend","Syrah","Lion's Tooth of McLaren Vale","Unknown","Australia","South Australia","Fleurieu","McLaren Vale","9999","9999","Community Average","0","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3034918","White","White","Dry","750ml","SEK","339","339","1","1","0","2017","David & Nadia Aristargos","South Africa, Coastal Region, Swartland","David & Nadia","White Rhone Blend","White Rhone Blend","Aristargos","Unknown","South Africa","Coastal Region","Swartland","Unknown","9999","9999","Community Average","8","1","","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"324965","Red","Red","Dry","750ml","SEK","0","0","1","1","0","2005","Delas Frères Hermitage Marquise de la Tourette","France, Rhône, Northern Rhône, Hermitage","Delas Frères","Syrah","Syrah","Marquise de la Tourette","Unknown","France","Rhône","Northern Rhône","Hermitage","9999","9999","Community Average","13","0,923076923076923","","","","46","","","","","","","","","","","","","","","","","","","","","http://www.garagistewine.com/forum/viewtopic.php?f=3&t=5022","","","","","",""
"114149","Red","Red","Dry","750ml","SEK","200","200","1","1","0","2001","Delas Frères Hermitage Marquise de la Tourette","France, Rhône, Northern Rhône, Hermitage","Delas Frères","Syrah","Syrah","Marquise de la Tourette","Unknown","France","Rhône","Northern Rhône","Hermitage","9999","9999","Community Average","12","1","","","","48","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"789599","White - Sparkling","White","Sparkling","750ml","SEK","0","0","1","1","0","1001","Deregard-Massing Champagne Louis Massing Brut Réserve","France, Champagne","Deregard-Massing","Champagne Blend","Champagne Blend","Louis Massing Brut Réserve","Unknown","France","Champagne","Unknown","Champagne","9999","9999","Community Average","7","0,285714285714286","","","","17","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5461434","White","White","Dry","750ml","SEK","279","279","2","2","0","2023","Dog Point Vineyard Chardonnay","New Zealand, South Island, Marlborough","Dog Point Vineyard","Chardonnay","Chardonnay","Unknown","Unknown","New Zealand","South Island","Marlborough","Marlborough","9999","9999","Community Average","3","1","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5076745","Red","Red","Dry","750ml","SEK","249","249","2","2","0","2021","Dominio do Bibei Ribeira Sacra Lalama","Spain, Galicia, Ribeira Sacra","Dominio do Bibei","Mencía","Mencía","Lalama","Unknown","Spain","Galicia","Unknown","Ribeira Sacra","9999","9999","Community Average","11","0,909090909090909","","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3826699","White","White","Dry","750ml","SEK","195,1232","195,1232","1","1","0","2018","Dominio do Bibei Ribeira Sacra Lapola","Spain, Galicia, Ribeira Sacra","Dominio do Bibei","White Blend","White Blend","Lapola","Unknown","Spain","Galicia","Unknown","Ribeira Sacra","9999","9999","Community Average","3","1","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3602988","White","White","Dry","750ml","SEK","180","180","1","1","0","2017","Dominio do Bibei Ribeira Sacra Lapola","Spain, Galicia, Ribeira Sacra","Dominio do Bibei","White Blend","White Blend","Lapola","Unknown","Spain","Galicia","Unknown","Ribeira Sacra","9999","9999","Community Average","5","1","","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4960622","White","White","Dry","750ml","SEK","0","0","1","1","0","2022","Weingut Dörflinger Müllheimer Reggenhag Gutedel trocken","Germany, Baden","Weingut Dörflinger","Gutedel","Chasselas","trocken","Müllheimer Reggenhag","Germany","Baden","Unknown","Unknown","9999","9999","none","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3600632","White","White","Dry","750ml","SEK","319","319","1","1","0","2018","Birgit Eichinger Riesling 1ÖTW Gaisberg","Austria, Niederösterreich, Kamptal","Birgit Eichinger","Riesling","Riesling","1ÖTW","Gaisberg","Austria","Niederösterreich","Kamptal","Unknown","9999","9999","Community Average","4","1","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5312239","White","White","Dry","750ml","SEK","229","229","3","3","0","2023","El Enemigo Chardonnay","Argentina, Mendoza","El Enemigo","Chardonnay","Chardonnay","Unknown","Unknown","Argentina","Mendoza","Unknown","Unknown","9999","9999","Community Average","24","1","","","","19","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5474112","White","White","Dry","750ml","SEK","299","299","4","4","0","2024","Bodegas El Paraguas El Paraguas Atlántico","Spain, Galicia, Ribeiro","Bodegas El Paraguas","White Blend","White Blend","El Paraguas Atlántico","Unknown","Spain","Galicia","Unknown","Ribeiro","9999","9999","Community Average","0","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4353115","Red","Red","Dry","750ml","SEK","259","259","1","1","0","2021","Enderle & Moll Pinot Noir Liaison","Germany, Baden","Enderle & Moll","Pinot Noir","Pinot Noir","Liaison","Unknown","Germany","Baden","Unknown","Unknown","9999","9999","Community Average","22","1","","","","29","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4681296","Red","Red","Dry","750ml","SEK","249","249","1","1","0","2018","Ernesto Ruffo Basaltico","Italy, Veneto, Veneto IGT","Ernesto Ruffo","Corvina Blend","Corvina","Basaltico","Unknown","Italy","Veneto","Unknown","Veneto IGT","9999","9999","Community Average","0","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"637449","White - Sweet/Dessert","White","Sweet/Dessert","375ml","SEK","179","179","1","1","0","2000","Fattoria di Fèlsina Berardenga Vin Santo del Chianti Classico","Italy, Tuscany, Chianti, Vin Santo del Chianti Classico","Fattoria di Fèlsina Berardenga","Trebbiano Blend","Trebbiano","Unknown","Unknown","Italy","Tuscany","Chianti","Vin Santo del Chianti Classico","9999","9999","Community Average","7","1","","","","27","","","","","","","","","","","","","","","","","","","","","","","","","","",""
